Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-406.4538	-546.6429	140.1892	1.93759	0.6057217
6	-405.9112	-546.1468	140.2356	1.848524	0.6978358
12	-407.6208	-547.8437	140.2229	1.725233	0.8841314
18	-416.3902	-556.4326	140.0424	1.887413	0.9048751
24	-418.6817	-558.6591	139.9774	2.165209	0.4578264
30	-406.3668	-546.3592	139.9925	2.150167	0.4578264
36	-404.1765	-543.8213	139.6449	2.408118	0.3138237
42	-410.1783	-549.9505	139.7722	2.346155	0.3907635
48	-403.1826	-542.9417	139.7592	2.343818	0.3667743
54	-408.9292	-548.6656	139.7364	2.366574	0.3667743
60	-416.6234	-556.5208	139.8974	2.221301	0.3913698
66	-403.1693	-542.9015	139.7322	2.386507	0.3913698
72	-400.435	-540.3317	139.8967	2.22204	0.3913698
78	-407.6644	-547.5509	139.8865	2.22204	0.3747842
84	-406.8305	-546.7285	139.898	2.22204	0.393758
90	-405.7072	-545.3838	139.6766	2.420019	0.3584184
96	-401.1142	-540.5983	139.4841	2.5593	0.306006
102	-399.8707	-539.6251	139.7543	2.289034	0.306006
108	-407.7161	-547.5257	139.8096	2.297443	0.3724615
114	-408.0988	-547.7734	139.6746	2.361787	0.3005822
120	-409.1735	-548.6685	139.495	2.50488	0.275817
126	-408.083	-547.6413	139.5583	2.50488	0.3227576
132	-414.55	-554.1825	139.6325	2.347524	0.2641741
138	-413.0726	-552.8275	139.7548	2.368623	0.4003734
144	-417.5787	-557.3317	139.753	2.383375	0.4326116
150	-417.5695	-557.3227	139.7532	2.344727	0.3600465
156	-410.2328	-549.9518	139.719	2.347191	0.3255501
162	-410.8432	-550.7028	139.8597	2.257441	0.3885428
168	-413.2438	-553.0557	139.8118	2.261224	0.3321187
174	-411.8973	-551.3266	139.4293	2.519394	0.2477455
180	-411.6289	-550.8689	139.24	2.669824	0.2299801
186	-406.6567	-545.9849	139.3282	2.58164	0.2299801
192	-417.1678	-556.5421	139.3743	2.58164	0.2513502
198	-421.7667	-561.1165	139.3498	2.598212	0.2473975
204	-423.6325	-563.2317	139.5993	1.378204	1.694826
210	-416.7346	-556.4275	139.6929	1.528159	1.517892
216	-420.2933	-560.3436	140.0503	1.676677	1.107214
222	-409.1367	-549.0606	139.924	1.593313	1.287483
228	-414.4307	-554.5728	140.1421	1.466029	1.211703
234	-411.4126	-551.2017	139.7891	1.26267	1.641754
240	-410.4659	-549.4689	139.003	1.171256	2.234673
246	-411.654	-549.939	138.285	0.8751322	2.866208
